vOTU	MI02	MI09	MI13	MI20	MII02	MII09	MII13	MII20	MIII02	MIII09	MIII13	MIII20
vsNODE275_01	0	0	9496	27302	0	0	9322	26432	0	0	8636	27186
vsNODE275_02	0	2199	0	0	0	2236	0	0	0	3207	0	0
vsNODE277_01	19781	0	0	0	24023	0	0	0	25735	1678	0	0
vsNODE277_02	9558	0	0	0	8989	0	0	0	6783	0	0	0
vsNODE278_01	0	5574	0	0	0	4618	0	0	0	6089	0	0
vsNODE279_01	0	4143	0	0	0	2806	0	0	0	1491	0	0
vsNODE28_01	141481	13996	0	2064	161654	20842	0	1367	156808	35626	0	1760
vsNODE28_02	5134	828	0	0	4021	0	0	0	4822	1778	0	0
vsNODE28_03	0	0	1849	18172	0	0	1885	20291	0	0	1868	23046
vsNODE280_01	4567	0	0	0	4593	0	0	0	4682	0	0	0
vsNODE281_01	4723	0	0	0	3315	0	0	0	4890	1303	0	0
vsNODE282_01	0	0	0	6399	0	0	1218	6714	0	0	1357	18416
vsNODE282_02	0	6038	2844	11132	0	4351	2350	7849	0	3601	2074	7442
vsNODE282_03	0	3178	0	0	0	3277	0	0	0	2800	0	0
vsNODE286_01	4262	0	0	0	4597	0	0	0	4296	0	0	0
vsNODE288_01	0	6219	0	0	0	6743	0	0	0	7878	0	0
vsNODE288_02	0	10879	0	0	0	5557	0	0	0	6584	0	0
vsNODE289_01	0	0	768	2028	0	0	706	2641	0	0	0	2166
vsNODE291_01	0	0	28289	14200	0	0	24687	12575	0	0	23995	12019
vsNODE292_01	5715	0	0	0	6625	0	0	0	6304	0	0	0
vsNODE294_01	0	9523	0	0	0	7886	0	0	0	8030	0	0
vsNODE295_01	0	3468	0	0	0	3259	0	0	0	2943	0	0
vsNODE296_01	0	4609	0	0	0	4771	0	0	0	2790	0	0
vsNODE296_02	4343	0	0	0	4098	0	0	0	4199	1499	0	0
vsNODE299_01	4490	2145	0	0	4486	3030	0	0	4869	3967	0	0
vsNODE30_01	13536	1049	0	0	15124	1650	0	0	15708	3386	0	0
vsNODE30_02	0	0	913	3751	0	0	946	4133	0	0	1021	4559
vsNODE304_01	0	16801	707	2150	0	12652	700	1398	0	13728	912	1525
vsNODE306_01	0	4779	0	0	0	4295	0	0	0	4518	0	0
vsNODE31_01	12345	921	0	0	12102	1529	0	0	10644	1985	0	0
vsNODE31_02	6327	3613	0	0	5135	4223	0	0	6352	5824	0	0
vsNODE310_01	0	0	0	3054	0	0	0	3780	0	0	0	3549
vsNODE313_01	0	0	6422	18850	0	0	6971	15719	0	0	5425	16767
vsNODE314_01	0	0	19053	21995	0	0	18190	17038	0	0	17400	15248
vsNODE314_02	0	0	1599	5078	0	0	1751	6878	0	0	2122	7074
vsNODE316_01	0	0	2194	1314	0	0	2003	1125	0	0	2101	1224
vsNODE319_01	0	0	0	1754	0	0	0	2355	0	0	0	2474
vsNODE319_02	0	2893	0	0	0	2032	0	0	0	0	0	0
vsNODE32_01	0	0	1590	4631	0	0	1941	6214	0	0	2256	6479
vsNODE323_01	0	2311	0	0	0	3329	0	0	0	3046	0	0
vsNODE324_01	5759	0	0	0	3310	0	0	0	5401	1436	0	0
vsNODE325_01	4396	0	0	0	5721	0	0	0	6387	1160	0	0
vsNODE326_01	0	0	792	4002	0	0	0	3130	0	0	0	3797
vsNODE326_02	13128	1830	0	0	14165	1951	0	0	16071	5152	0	0
vsNODE33_01	0	4892	0	0	0	4823	0	0	0	5206	0	0
vsNODE334_01	0	0	58787	18663	0	0	50605	14718	0	0	46779	13576
vsNODE334_02	0	6170	2063	2103	0	5753	1525	1618	0	4320	1204	1490
vsNODE334_03	4353	0	0	0	3012	0	0	0	4191	0	0	0
vsNODE336_01	6580	0	0	0	5203	0	0	0	6227	0	0	0
vsNODE339_01	13270	0	0	0	14310	0	0	0	12779	2522	0	0
vsNODE340_01	0	0	0	2090	0	0	0	2247	0	0	0	2736
vsNODE340_02	14236	0	0	0	15464	0	0	0	15535	2909	0	0
vsNODE344_01	0	0	985	2598	0	0	0	2621	0	0	0	2427
vsNODE344_02	0	3162	0	0	0	4014	0	0	0	3718	0	0
vsNODE344_03	4531	0	0	0	5195	0	0	0	4594	1445	0	0
vsNODE348_01	10893	0	0	0	11546	0	0	0	11230	953	0	0
vsNODE350_01	5786	0	0	0	6843	0	0	0	5475	1242	0	0
vsNODE350_02	4972	0	0	0	5241	0	0	0	5856	0	0	0
vsNODE352_01	32983	1341	0	0	36170	1530	0	0	35636	3459	0	0
vsNODE353_01	0	0	5231	5418	0	0	4135	5226	0	0	4805	5671
vsNODE355_01	0	4300	0	0	0	5626	0	0	0	6539	0	0
vsNODE357_01	0	5679	0	0	0	4890	0	0	0	4173	0	0
vsNODE357_02	7092	0	0	0	7292	0	0	0	5800	0	0	0
vsNODE358_01	0	0	3966	7192	0	0	4147	6899	0	0	3824	6273
vsNODE359_01	3673	0	0	0	2648	0	0	0	4886	1123	0	0
vsNODE361_01	0	0	1213	2846	0	0	671	2788	0	0	0	2234
vsNODE362_01	19467	0	0	0	20249	0	0	0	19217	1405	0	0
vsNODE363_01	0	0	1461	2987	0	0	0	2564	0	0	0	2061
vsNODE363_02	8351	1347	0	0	8366	1654	0	0	8358	2631	0	0
vsNODE364_01	8584	0	0	0	7343	0	0	0	7602	0	0	0
vsNODE367_01	0	0	2541	5547	0	0	2574	5387	0	0	2325	5260
vsNODE369_01	0	2971	3131	5665	0	2284	2854	4501	0	1932	2365	4233
vsNODE37_01	10706	1658	0	0	11375	2704	0	0	11431	3940	0	0
vsNODE371_01	4951	775	0	0	4125	0	0	0	5008	1845	0	0
vsNODE373_01	0	0	3988	5440	0	0	3876	3414	0	0	3637	5157
vsNODE373_02	6249	0	0	0	5970	0	0	0	5668	1363	0	0
vsNODE375_01	0	0	0	2835	0	0	0	2676	0	0	0	7681
vsNODE375_02	0	12303	0	0	0	12580	0	0	0	15647	0	0
vsNODE377_01	19942	0	0	0	13183	0	0	0	19401	1162	0	0
vsNODE378_01	4286	0	0	0	3206	0	0	0	3683	0	0	0
vsNODE379_01	0	0	2189	5874	0	0	1842	4359	0	0	1989	3670
vsNODE380_01	0	0	839	3442	0	0	770	2994	0	0	0	3318
vsNODE380_02	8285	5339	0	0	8755	6364	0	0	8297	12323	0	0
vsNODE382_01	2458	4928	0	0	2205	5962	0	0	1924	10004	0	0
vsNODE390_01	14393	2161	0	0	15674	3525	0	0	14149	4648	0	0
vsNODE392_01	0	19162	1702	2861	0	15470	1285	1893	0	10789	0	1780
vsNODE392_02	0	0	811	5602	0	0	0	4656	0	0	0	3944
vsNODE394_01	0	0	1091	3534	0	0	1226	2948	0	0	0	2382
vsNODE394_02	14983	2834	0	0	15971	3396	0	0	13542	6132	0	0
vsNODE395_01	0	0	722	5994	0	0	0	3883	0	0	0	4513
vsNODE395_02	0	0	914	3493	0	0	0	3340	0	0	0	2839
vsNODE402_01	0	2647	0	0	0	3328	0	0	0	3352	0	0
vsNODE402_02	3405	0	0	0	3154	0	0	0	3591	1291	0	0
vsNODE404_01	0	0	1339	7324	0	0	1197	5993	0	0	1097	5437
vsNODE406_01	4731	0	0	0	3680	0	0	0	5052	1341	0	0
vsNODE407_01	0	0	0	2426	0	0	645	3105	0	0	0	3183
vsNODE407_02	13008	1457	0	0	13453	2218	0	0	13773	3188	0	0
vsNODE41_01	0	0	2701	5102	0	0	2483	4368	0	0	2936	4278
vsNODE41_02	4886	704	0	0	4027	0	0	0	4779	1729	0	0
vsNODE413_01	5013	0	0	0	5186	0	0	0	4893	0	0	0
vsNODE415_01	0	6685	2366	2545	0	6972	2143	1959	0	4602	1358	1793
vsNODE420_01	25086	3192	0	0	24728	3808	0	0	22283	6367	0	0
vsNODE421_01	6757	0	0	0	6763	0	0	0	6527	0	0	0
vsNODE422_01	0	8345	0	0	0	7127	0	0	0	10422	0	0
vsNODE422_02	6654	0	0	0	6101	0	0	0	5693	1302	0	0
vsNODE425_01	0	0	3823	12983	0	0	3770	12254	0	0	3230	11977
vsNODE425_02	88798	4259	0	0	86770	5545	0	0	73652	9492	0	0
vsNODE427_01	5732	0	0	0	6161	0	0	0	6639	0	0	0
vsNODE428_01	0	1934	7949	96296	0	1357	6276	70531	0	1276	7162	63014
vsNODE433_01	11785	3368	0	0	12934	5050	0	0	11416	7652	0	0
vsNODE435_01	0	10335	0	0	0	10596	0	0	0	8532	0	0
